"","reviews","points"
"293","간만에 나온 토토로에 버금가는 최고의 애니! 명작으로 기억될 것 같아요!  ","10"
"294","이거 재밌거든!!!  ","10"
"295","완전 감동이예염.. ㅎㅎ 정말 잼있었어여..^^  ","10"
"296","좀 내용이 적은것같기도 하지만 정말 재미있다^^  ","10"
"297","감동적이었어요.군조가떠나니너무슬퍼요.ㅠㅠ  ","10"
"298","몬스터 주식회사 같음. 너무 진행이빠른 영화...?  ","3"
"299","많이 울었어여... 그래도 정말 재밌었어여!!  ","9"
"300","ㅋㅋㅋ완전짱!  ","9"
"301","시도는 좋았으나 이런건 헐리우드가 더 잘만드는거 같구나;;-_-  ","3"
"302","감동받았어요!!  ","10"
"303","완전짱  ","10"
"304","진짜 잼있음 마지막에 감동적임~~♡  ","10"
"305","보고났는데도  또 보고싶을 정도로 재미있어요.  ","10"
"306","봐야지~~  ","10"
"307","생각 이상으로 완성도 높은 스토리에 재미와 감동을 동시에 잡을 수 있었다.  ","8"
"308","어른이 보면 유치.. 아이들 시각에서는 괜찮아요.  ","6"
"309","생각보다 재밌음ㅋ  ","9"
"310","아 요즘 애니에 꽂힘 ^-^ 재밌네용 ㅋ  ","8"
"311","유치할까 걱정했는데... 이만하면 굳뜨!  ","8"
"312","우연치않게 보게됬는데 어른이봐도 괜찬은 애니  ","7"
"313","정말 멋졌구요. 이런 영화 또 나오면 좋겠네요.  ","10"
"314","눈물 없인 볼 수 없는 감동의 애니메이션~~ 처음엔 재미있게 끝은 감동적으로~~  ","10"
"315","완전재밋음 특히 싸우는것의 나키의 모습에 감동했음  ","10"
"316","애들한테는 좋을 영화.  다만...... 저한테는 굉장히 유치했음.....  ","5"
"317","와~ 진짜감동적임.  ","10"
"318","나키랑 군조가 싸우는거 대박 감동적 임.  ","10"
"319","완전 재미하고 감동이 와~말할수없는느낌~★  ","10"
"320","애니메이션의 감동이 실사 뺨치네.. 엔딩타이틀 음악 절대 놓치지 말 것  ","9"
"321","감동적이구요 가족끼리 보셔도 괜찮을것같네요  ","10"
"322","유치할것같았는데 정말 감동적이였어요  ","10"
"323","너무나 재미있어고, 감동적이었어요  ","10"
"324","와 정말감동적이예요 저이거보고 존나울었음 프렌즈 화이팅!  ","10"
"325","유치할 것 같았는데, 매우 감동적이구 몬스터간의 우정이 대단했다.  ","9"
"326","너무 재미있고 감동적이였어요  ","10"
"327","만화를 보면서 울고 있는나,, 내가 순수한게 아니라 만화가 재미와 감동을 주는거다 !  ","10"
"328","너무나 감동함 몬스터가 무서운줄만알았는데 이런모습 새로운바견  ","10"
"329","감동적인 장면이 많아서 좀 울었어요  ","10"
"330","일본판 몬스터회사  ","8"
"331","이영화넘넘재미있어요감동적이고이거다른사람들에게추천할게요. 내사랑코타케  ","10"
"332","성인부터 유아까지, 재미부터 감동까지... 모두를 잡은 훌륭한 영화!  ","10"
"333","너무 감동적이예용 코다케도 귀엽고 눈물까지 주르륵 감동감동ㅋ 강추! 입니당!!  ","10"
"334","내사랑 코타케  ","10"
"335","저 이 영화 넘 재밌어요. 가족들과 보는 것 강추!!  여러분 많이 봐주세요. ㅋ  ","10"
"336","넘감동적이에요. 저는잘 울지않는 성격인데도3번이나울었어요.그리고코타게넘귀여워요  ","10"
"337","재미와 함께 감동을 주는 작품인 것 같습니다보는동안 너무 즐겁고 감동이었어요  ","10"
"338","이건 .. 어른 아이 할것없이 감동적이다  ","10"
"339","재미,감동을 가지고 있는 작품입니다  ","9"
"340","평점을 보고 너무 기대를 했나? 내용도 없고 엉성+지루. 내용에비해 캐릭터가 아깝다  ","6"
"341","너무 감동적이고 재미있고 코타케너무 귀여워요 강추 합니다!!!!  ","10"
"342","너무 재밌고 감동적이네요~나도 모르게 눈물이 주르륵흑 그리고 코타케너무 사랑해~♥  ","10"
"343","너무 재미있고 감동도 많고 짱!  ","10"
"344","딸 보여주려고 기대안하고 봤는데...제가 울어버렸네요...재미..감동..꼭 보세요  ","10"
"345","짱 재미있었어요.강추할게요~  ","10"
"346","완존 감동,흥미,재미울었어요  ","10"
"347","너무 감동적이었어요. 강추합니다.  ","10"
"348","너무감동이닷  ","10"
"349","너무 감동적이고  그리고 또 재미있었어요.!!  추천합니당~!!  ","10"
"350","군조가돼고싶어요  ","10"
"351","프렌즈짱재미있어  ","10"
"352","재미있기도하고슬프기도하네요.저도 울었어요 코타케,나키 군조짱!!  ","10"
"353","완전 재밌음..친구랑 같이 봤는데 친구랑 웃고 울고,,ㅋㅋ 넘 재밌었어여@ㅁ@ 추천!!  ","10"
"354","3d가 비싸다는걸 빼고는 볼만했던 영화 ^.^ㅋㅋㅋ  ","7"
"355","웃음과 감동, 메세지까지 담아냈으나, 아쉬움은 남는 재패니메이션!  ","7"
"356","코타케 완전 귀여움!!~~ 감동적이면서도 재미있어요!!  ","10"
"357","마지막에군조가떠나서나키가운거저도너무울엇엉요 ㅠㅠ아정말슬프네요추천합니다!  ","10"
"358","사나이는 울면 안돼!!  ","10"
"359","뻔한 이야기인데...감동!웃으면서 울면서 봤네요. 캐릭터도 귀여워요. 고야 ㅋㅋ  ","10"
"360","완전 감동 아이와 오랜만에 좋은 영화 봤어여 군조 넘 멌있어요  ","10"
"361","감동적이에요... 저 엄청 울었어요  사나이는 울면 안되 나키!  ","10"
"362","감동적이고, 몬스터들 덕분에 많이 웃고, 울었습니다... 저도 선녀 버섯 먹고 싶어요!  ","10"
"363","완전 재미있습니다. 감동적이고, 유익하고...아이가 매우 귀여워요.  ","10"
"364","정말 귀여운 영화에요. 몬스터들 덕분에 많이 웃었습니다.  ","10"
"365","지금껏 많은 3d애니매이션을 봐왔지만 수준은 조금 떨어지는 편이라고 말할수있겠네요  ","7"
"366","감동적이었습니다 ㅠㅠ 선녀버섯 냠냠 진짜 재미있게 보고왔어요!!  ","10"
"367","완전 감동적인..ㅠ  ","10"
"368","이 영화 진짜 감동적이에요.  저 중간&마지막에 울었어요ㅠ 이 영화 진짜 강추에요!  ","10"
"369","코타케 너무너무 귀여웠어요~!!! 그리고 마지막에 감동적이에요~ㅠ.ㅠ  ","10"
"370","감동적인 영화임  ","10"
"371","제가봤던것중에서 이게제일짱이었습니다.마지막에 군조가 화살표로 멈춤했을때ㅠㅠ  ","10"
"372","흐헝..꼭 봐야할 영화... ㅠㅠ 저 계속 울었음  ","10"
"373","정말 감동적입ㄴ다... 저 7번정도 울었어요...ㅠㅠ힝  ","10"
"374","너무 감동적이고 재미있어 10점!!!!!  ","10"
"375","ㅋ 이거 보면 후회 절대 안함..... 진짜로 재밌음 그리고 감동누물이 .. 뜨헉ㅋ  ","10"
"376","완전 재미짱 !! 마지막 감동 정말 좋음  ","10"
"377","저울컥했음  ","10"
"378","짱이에요!!!  ","10"
"379","이거 보러 갔다고 너무 슬퍼서 5번이나 울었어요! 완전 좋아요  ","10"
"380","친구하구 나하고 보러 갓는데 진짜 완전 펑펑 울엇음  ","10"
"381","마지막에 사나이는울면안돼 할때 진짜 감동먹었어요 ㅜㅠㅠㅠㅠㅠㅠㅠ  ","10"
"382","정말 재미 있음. 우리 두아들(5살, 3살)이 눈을떼지 못하고 봄. 괴물 나와서 무섭기도  ","10"
"383","정말 재밌구만  애가 좋아하네.........  ","9"
"384","눌물바다, 대성통곡!!! 웃음바다, 박장대소!!! 웃고 울고.... 아흙 감동입니다.  ","10"
"385","완전 재미있고, 감동적이에요!!  ","10"
"386","이거보면서 펑펑울었다능.. 동생두울구..나두 울구.. 그것도 팝콘 냠냠먹으면서./아흑  ","10"
"387","으앙~!! 정말 재밋구... 슬퍼요......우리둘이 쌍으로 울엇어요...  ","10"
"388","너무 너무 감동적이었고 너무 너무 재미있었어요 울기까지 했어요 또 보고 싶네요  ","10"
"389","재밌어요!!!  ","10"
"390","엄청나네요  ","10"
"391","군조 완전 착함....ㅠㅠ  ","10"
"392","나키 완전 기엽고 이야기도 옷기고 대박 감동 완전 겅추  ","10"
"393","교회에서 이거 보러 갔는데 눈물 퍼나오고 처음엔웃겼어요근데나키가좀 불쌍한기분  ","10"
"394","재밌고 슬펐던 영화입니다.제가13살인데 제가 눈물이 많은건지눈물이 계속 나왔어요.  ","10"
"395","오늘 봤는데 너무 감동적이어서 눈물이 쏟아졌어요!!!!그래도 재미있었어요!!!!  ","10"
"396","너무 감동적이고 재미있어요~!  ","10"
"397","슬프고 재미있네요^^또 아기도 귀엽네요  ","10"
"398","정말 재미있고 감동적이고 눈물이 왈칵 나왔네요..  ","10"
"399"," 재밌기도하고 슬프기도하고 나치와 군조 애기너무감동적인아이들` 군조!진정한친구  ","10"
"400","재미있고 감동적이다. 가족앞에서 울었네 지.못.미  ","10"
"401","아이는 무척재미있었다고하네요.전 촘 지루했어요,,  ","8"
"402","재미있고 감동적이에요 그리고 귀요미들 &gt;&lt;  ","10"
"403","재미있고 감동적인 영화!  ","10"
"404","이런 귀요미들  ","10"
"405","아 진짜 귀엽네  ","10"
"406","너무 감동적인데 어른은 지루해 할 수 있겠네요 아이들은 재밌어하던데요^^  ","9"
"407","엄청울며봈음  ","10"
"408","친구랑 봤는데, 짱 귀여워요!!!!  ","10"
"409","감동적이면서도 재미있었어요  ","10"
"410","애들도 좋아하고 어른이 봐도 재밌습니다 추천!  ","10"
"411","재밋네요  ","7"
"412","싱고 조아!!!  ","10"
"413","약간 무섭고 재밌고 감동적인영화. 근데 코타케랑형 얼굴에 참 뭐 많이 났더라ㅋ  ","8"
"414","나키씨!에서 빵터짐ㅋㅋㅋㅋ유치하긴하지만 애들영화치곤 스토리가 괜츈한듯  ","7"
"415","감독 적입니다.~~~  ","10"
"416","군조 멋장이! 코타케 귀요미! 나키 훈남! 난 군조가 젤루 좋아  ","10"
"417","웃음과 재미과 눈물과 감동이 함께 있다.  ","10"
"418","재밌습니다! 이거본 엄마들이 적극추천해줘서 봤는데 저도 추천해줘야겠어요  ","10"
"419","코타케!!!  너무 귀여워요!!  그애한테 완전 반했음  점수는 100점!!  ","10"
"420","우리 애들이 이렇게 집중하면서 영화보는건 첨인거같네요 ㅎㅎ  ","10"
"421","별기대없이 봤는데 완전 대박!!!  ","10"
"422","요즘개봉한 애니 그저그렇던데 요건 증말 재밌네요 ㅋㅋ  ","9"
"423","너무 재밌습니다!!!이거 보고 울고 웃고 난리도 아니었어요~  ","10"
"424","프렌즈:몬스터 섬의 비밀 최고 백점 만점에 만점  ","10"
"425","끝편에 코다케가 하는 말이 너무 감동적이고  과연 군조는 엄마를 찾았을까요?  ","10"
"426","정말 재밌던 영화 같아요. 우정을 위해 악역이 나서서되고, 나키와 군조, 코타케!  ","10"
"427"," 코타케도 보고 나니 행복한 영화였어요. 우리딸이 별 많이 주래요  ","10"
"428","교회 아이들 데리고 관람했는데 학교 폭력 문제가 심각한 요즘 봐야할 교육적애니인듯  ","10"
"429","아..웃다 울다..반복하다 감동까지 받았네요!! 강추 영화!!!  ","10"
"430","폭풍 웃음, 감동!! 군조가 엄마를 찾았을까요? 궁금하네요.. 속편도 기다려 봅니다^^*  ","10"
"431","ㅋ.ㅋ 진짜 캐귀염!! 도깨비들 캐릭터도 잼고 교훈적이고 감동적이고 좋네요~ ^^!!  ","10"
"432","애보다 내가 더 몰입했네요 한참웃고 마지막에 엄마생각나서 많이울엇네요  ","10"
"433","조카랑봤는데요~울었어요 ㅋㅋ 코타케 귀엽고 ㅋ 스토리가 탄탄하네요  ","10"
"434","수익율 1위라는 뉴스 보고 극장 찾았는데 진짜 잼나요~  ","10"
"435","늘 산만한 우리 아들. 두 주먹 꼭쥐고 끝까지 집중해서 보는게 너무 신기했어요.  ","10"
"436","아들램 데리고 아내랑 가서 관람 햇는데 영화 괜츈했어요. 막판에 눈물찔끔  ","10"
"437","역대 애니메이션계 최고의 대반전!! 웃다가- 찐한 감동을 가슴에 담아 돌아왔습니다.  ","10"
"438","억지로 책읽히느니, 이 영화 한번 보여주는 게 낫다 싶을 정도  ","10"
"439","코다케가 너무 귀여워요. 사랑스러워  ","10"
"440","친구의 의미를 생각하게 만들고, 추운겨울 따뜻한 마음을 느낄수 있어요 추천합니다.  ","10"
"441","너무  재미있어요.^^  ","10"
"442","정말 감동적인 영화!  어른들도 전혀 지루하지 않게 볼 수 있는 영화입니다.  ","10"
"443","good 짱!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  ","10"
"444","정말 처절하게 울었다 엄마도 아빠도 동생도...ㅜ.ㅜ 눈이 퉁퉁부었따  ","10"
"445","너무슬프고 군조,나키 가 너무불쌍해요  ","10"
"446"," 제가 본 영화중에 가장 기억에 남네요. 말로 표현 할 수가 없는 좋은 영화였습니다.  ","10"
"447","아나키가들고온선녀버섯이마을사람들한테밟혔을때진짜슬펐음.이영화잘만든거같네요^^  ","10"
"448","보고나서 계속 울었어요. 너무 감동적이고 좋았습니다...  ","10"
"449","아이들보다 엄마인 제가 더 많이 울었답니다.다른 애니메이션보다 더 많은 감동을주네  ","10"
"450","다른 사람에게 추천하고싶어요. 정말 저는 울었어요 ㅜㅜ  ","10"
"451","가족들과 함께 보기 좋은 영화입니다 ^^ 재미있어요.  ","9"
"452","흑..ㅠㅠ정말 감동이에요. 군조 정말로 착한 친구네요.  ","10"
"453","영화 후반부에""영화 엔딩 방법이 쉽지 않겠는데""라고 생각했는데 재미,감동,여운까지!  ","9"
"454","흑 너무 슬퍼요...  ","10"
"455","우리딸내미도 이거보고 울더라는 .  화살맞는 장면에서 울컥했다는....  ","9"
"456","이야기가 쉬우면서도 감동적이에요. 저도 울뻔...ㅠㅠ  ","10"
"457","코타케 너무 귀여워!!!!!!  ","10"
"458","울 꼬맹이들 영화끝나고나서 얼굴보니 눈가에 눈물이 글썽글썽 ㅋㅋ  ","10"
"459","정말 제대로 된 영화를 못봐서 그런것 같네요  ","3"
"460","재미있다.  ","10"
"461","감동과 재미가 함께하는 영화~  ","10"
"462","이 영하 정말재미있어요 우정슬픔 같은게 잘나타나 있어요  ","10"
"463","정말 재밌고 감독 적이였어요.친구들도 울더라고여~  ","10"
"464","정말 슬퍼요..감독적이고..코다케♡..저는 영화 보면 안 울거든요.근데 울었어요  ","10"
"465","친구를떠올릴수있는 영화  ","10"
"466","음.. 1,2주기는 조금 미안하고... 그래도 재미가 없네요. 보다가 머리가 혼란스러웠음  ","3"
"467","코타케도 귀여웠구요 , 나키랑 군조도 멋있었어요 .  ","10"
"468","너무 재미있었고 감동적인 부분도 있었어요.또 코타케가 너무 귀여웠어요^^  ","10"
"469","귀여운 캐릭터에 재미있을것만 생각하고 갔는데 보는 내내 눈물이 나더라구여ㅠㅠ  ","10"
"470","말그대로 너무 감동적입니다ㅠ마음을 울렸어요.뻔한소재라고생각했는데정말감동적♥  ","10"
"471","짱입니다. 어른이 봐도 감동입니다. 속편나왔으면좋겠어요ㅜㅜ  ","10"
"472","정말 감동 전 이소리가 좋아요! 재밌냐 꼬맹아~! 정말 감동 저 울었어요~!!@@@  ","10"
"473","감동과웃음! 요고요고 정말 강추!!  ","10"
"474","맞춤법틀리는라이온킹알바들....프렌즈 보고 말해라! 그런 말이 나오는지 ㅋㅋㅋ  ","10"
"475","1점은 정말 말도 안되요 정말 감동받아 눈물 흘리며 왔는데... 프렌즈 최고입니다!  ","10"
"476","누가 알바래 지들이알바면서ㅡㅡ↓맞춤법도 다틀리는알바도 쓰네요ㅋㅋ프렌즈잘봤어요  ","10"
"477","재미없었어요  ","2"
"478","눈물찔끔찔끔! 캐릭터가 너무 귀엽고 감동적이엇어용ㅋㅋㅋㅋ추천!ㅋㅋㅋ  ","8"
"479","가족들과 함께 볼 영화로 강추~~ 울 꼬맹이들 웃다,울다,,, 어른들도 재미난 영화^^  ","10"
"480","캐릭터가 너무 이쁘고, 귀여웠습니다.ㅎㅎㅎ  ","10"
"481","남친이랑봄코다케 완전 귀여움 울었어요, 귀엽고 역시 연말엔  짱임!!^^  ","10"
"482","전 잼있게 봤는데... 여친은 살짝 눈물을 흠치더라구요 ㅋ  재미와 감동~  대박^^  ","10"
"483","^^ 극장안에 엄마 아이들 아빠들 모두 눈물 콧물 바다됐어요..ㅠㅠ~  ","9"
"484","정말 재밌어요~~  ","10"
"485","완전 감동적이고 좋아요)_( 코타케 긔요미ㅎㅅㅎ  ","10"
"486","동생이랑 같이 봤는데 나도울고 동생도울고......ㅠㅠ  ","10"
"487","괴물이너무괴물같음ㅋㅋㅋㅋ그냥9세이하용영화  ","6"
"488","저는 2D로 봤는데 정말 감동적이어서 눈물이 났어욬ㅋ 코타케 이 귀요미ㅋㅋㅋ  ","10"
"489","애들과 함께 재밌게 봤습니다. 스토리도 쉽고 감동적이고~ 3D로 못본게 아쉽네요~  ","9"
"490","마지막에 감동..ㅠ 계속 생각나게 만드는 영화..ㅠ  ","10"
"491","중간에 무서웠음;; 귀여운캐릭터땜에 볼 영화  ","6"
"492","다 좋은데 3D가 약해.  ","8"
"493","감동!!!!!!!!!!!!!!!!!!!1완전 재밋어요!!!!!!  ","10"
"494","완전감동.. 아빠가 스토리 잘짜서 어른이보기에도좋대요~  ","10"
"495","너무 재미있다.~!!!  ","10"
"496"," 엄마와친구의 소중함을 알게 되는 감동적인 영화네요..^^(코타케 넘 귀여워^^)  ","10"
"497","넘감동적이었어요.새해맞이로본건데..^^  ","10"
"498","마지막 부분 완전 감동! 코타케 너무 귀여워! 또 보고 싶네용  ","10"
"499","저도 이거 보다가 울었음 마지막에 넘 슬퍼여 그리고 나키인가?걔 의외로 착한녀석  ","10"
"500","살다보면 정드는게 친구사이.  ","7"
"501","조카랑봤는데요~울었어요 ㅋㅋ 코타케 귀엽고 ㅋ 스토리가 탄탄하네요  ","8"
"502","전 이거 보다가 울어ㅆ  ","10"
"503","너무 이야기가 감동적이네요!코타케가 귀엽네요  ","10"
"504","동생들 데리고 가서 봤습니다. 제가더집중해서 봤습니다.폭풍눈물 흘리면서요 ..ㅋ  ","10"
"505","귀여운 코타케 보러 어제 갔습니다ㅋ그리고 감동을 받고 돌아왔지요//  ","10"
"506","코타케 귀여운 목소리乃. 함께 보던 옆좌석 순수한 아이는 어찌나 펑펑 울던지~  ","8"
"507","몇번을 울었는지 몰라요ㅜㅜㅜㅜㅜ  ","8"
"508","코타케 귀여움 꽤 재밌는제 마지막에 감동 근데 몬스터가 좀 맘에 안들어;  ","8"
"509","감동이었음다ㅠㅠ 추천요~근데 감동적인거 싫어 하는 사람은 ..그닥..ㅋ  ","10"
"510","정말 일본 영화 같은 일본 애니메이션(?) 말을 꼬이게 만드는 놀라움? ㅎ  ","4"
"511","재미있는데 약간 지루함 ^^;  ","7"
"512","감동적인 에니메이션...  ","10"
"513","어른들까지 이렇게 웃기고 울려도 되는 것이야! ㅜㅜ  ","9"
"514","애기는 귀여운데 나머지 캐릭터들이 비호감이네요... 애들이랑 보다 나왔어요  ","4"
"515","너무 일본색깔이 강해서 부담스러운 애니메이션.. 애들 보여주기엔 좀.. ㅡㅡ  ","5"
"516","애니본것중 최고였습니다...^^  ","10"
"517","이번 봤던 3d영화중 좋았던 작품!  ","10"
"518","그래픽은 역시 우리나라보다 한수 위, 그런데.. 스토리가 영.. 왜 갑자기 잘해주냐?  ","7"
"519","나만 울었나봐.....ㅋㅋㅋㅋㅋ 어린애들 사이에 껴서 혼자 울었다...  ","10"
"520","볼만했습니다^^  ","8"
"521","넘 재미있어!!!!  ","10"
"522","일본꺼지만, 진심 대박 재밌음.게다가 감동적이기 까지 완전 강추!  ","10"
"523","애들과 함께 보았는데,, 정말 감동적이기도 하고 재미가 있어요.  ","10"
"524","친구 따라 봤다가 잼있어서 그냥봄  ","10"
"525","완전  감동적이야!! 3번이나 울었어요!! 어린애라서 감성이 풍부한가 봐요!~~  ","10"
"526","너무 재밌고 감동적이예요! 전 울뻔 했어요, 한번 봐요, 대박입니다  ","10"
"527","정말  재미있네요 멋진영화 인것 같습니다.  겨울방학에 볼 영화로는 강추!  ","10"
"528","강추  ","10"
"529","아기귀여워  ","10"
"530","확실히 어린애들이 보기엔 딱 좋은 영화인듯  ","8"
"531","재밌슴. But, 3D효과 제로!! 안경 벗고 겹쳐보이지 않고 훨 나음. 속지말고 2D보세요  ","8"
"532","완전 슬픔  ","10"
"533","예고편 보고 긷하고 있습니다^^  ","10"
"534","웃음과 감동을 함께 주네요^^ 캐릭터들도 너무 귀엽구요 가족들과 보면 좋은영화^^  ","10"
"535","완전 대박!!!!  ","10"
"536","재미있었어요^^여러가지 이해가 안되는 점도 있었지만 볼만했어요.  ","7"
"537","재미있다ㅋㅋ  ","10"
"538","캐릭터가 귀여워서 반은 먹고 들어간다고 생각했는데...휴...  ","2"
"539","재밌어요 !! 남녀노소 불문 재밌을 듯.  ","10"
"540","200년 묵은 인간과 몬스터의 대립. 코타케는 사악한 몬스터섬에서 살아남을 수 있을까  ","8"
"541","초딩인 사촌동생들 데리고 갔다가, 대학생인 제가 제일 재밋게 봣네요ㅎ  ","10"
"542","정말 잘 만든 애니메이션이예요. 코타케는 완전 귀여운 완소캐릭터!  ","10"
"543","오늘 우리아이들하고관람했어요..마지막이슬펐는지아이들이 눈물을흘리더라구요..  ","10"
"544","대학생임에도불구하고영화관의꼬마아이들과함께펑펑울수있는감동적인몬스터비밀이야기  ","10"
"545","너무 재미있고 마지막에 슬펐어요~  ","10"
"546","조카랑 같이 봤는데 정말 재미있어 했어요...  ","9"
"547","너무 감동적이예요!그리고 프렌즈의 나오는 코타케가 너무 귀여웠어요.  ","10"
"548","어른이야 모 그냥 그렇고요 아이들은 정말 많이 좋아하네요 재밌다고 난리  ","9"
"549","완전재미있었어요^_^후회없슴!감동적이였음!^__^ㅎ조금징그러운부분도있었지만 짱!!  ","10"
"550","캐릭터가 징그러웠다는 생각이 드네요 그래도 볼만했어요 애기는 귀여워요  ","5"
"551","완전 잼났어요!!! 슬퍼요 울었어요ㅠㅠ친구의 의리!!절대 후회안함!!  ","10"
"552","친척동생때메 봤는데 진짜 잼있었어여 ㅠ ㅠ 마지막에 울기도하고..  ","10"
"553","타카시 야마자키는 사람을 울릴 줄 아네요.  ","9"
"554","정말끝내줌  ","10"
"555","무지 감동적이었고 재미있었어요.  ","9"
"556","몬스터 주식회사 + 괴물들이 사는나라 섞어놓은것 같음  ","7"
"557","어머~ 울었어요 ㅋ 감동적이고 재미있네 ㅛ^^  ","10"
"558","절대 후회안함  ","10"
"559","아이들이~~짱""짱 좋아합니다.  ","10"
"560","방학에 아이들이 보았으면 참 좋을 거예요,,,귀엽과, 재미있답니다~~  ","10"
"561","집에 어린이가 있다면 꼭 손잡고 함께 보세요~ 추천입니다.  ","10"
"562","가족과 함께 너무 즐거운 시간되었네요~. 내용도 알차고 ^^  ","10"
"563","가족영화의 백미를 가진 영화라고 생각합니다.  ","9"
"564","따뜻하고 예쁜 영화에 재미가 더해졌네요 ㅎㅎ 추천합니다!!  ","10"
"565","시사회 이벤트로 애들 데리고 봤습니다. 또 보려고요. 애들이 정말 좋아합니다. ^^  ","10"
"566","짱  ","10"
"567","완전 잼나네요  ","10"
"568","왈가왈부 전혀 필요없음..걍 일단 보시길! 정말 간만에 명품애니!!!  ","10"
"569","진짜...애니메이션 보고 운지가 얼마만인지...감동...대박! 아이 어른 모두 감동 ㅠㅠ  ","10"
"570","우왕 ㅋㅋㅋ완전 재미씀! ㅋㅋㅋㅋㅋ  ","10"
"571","코타케 뿌잉뿌잉!!!~  ","10"
"572","재미와  더불어 진한 감동까지,,,  ","10"
"573","귀엽고 예쁘고, 마음이 따뜻해집니다. 다양한 몬스터들의 깨알같은 재미까지!  ","10"
"574","아이들뿐 아니라 어른들이 봐도 재밌네요. 캐릭터도 귀엽고 웃음도 눈물도 있어요^^  ","10"
"575","원래 에니메이션을 썩 좋아하지는 않는데 여친때문에 봤어요. 생각보다 재밌었습니다  ","10"
"576","여자친구랑 같이 봤는데 여자친구가 코다케 귀엽다고 좋아했어요  ","10"
"577","온가족이 함께할 영화로 강추  ","10"
"578","보고난후에도 코타케의 옹알이가 사라지지 않네요 너무 사랑스러운 영화^^  ","10"
"579","초반엔 조금 유치하다고 생각했는데 보다보니 의외로 재밌네요  ","10"
"580","3D 애니메이션의 종결작이다 완전 재밌음 겨울방학에 !! 꼭 봐야 할 영화  ","10"
"581","귀영워 죽겠음!  ","10"
"582","우리 아이와 우리조카들과 함께 후회없을 애니니 서두르세요  재밌고 사랑스러워요  ","10"
"583","아 역시 일본 애니매이션. 실망하게 만들지 않는구나~  ","10"
"584","애들 보여주려고 봤는데 저도 재밌게 봤네요.  ","10"
"585","짱짱짱~ 대박이예요~~~~  ","10"
"586","애들이 보기에 알맞은 영화. 좀 유치하긴 하더라  ","6"
"587","기대이상으로 재밌었네요.. 코타케 정말 너무 귀여워요 ㅋㅋ 스토리는 어린이취향~!  ","9"
"588","아이들과 본 영화중에 손꼽히는 감동적인 영화였습니다. 특히 뒤가 여운이 남네요.  ","9"
"589","기대가 크면 실망도 큰 법입니다. 별 기대 안하고 봤더니 재미있더군요.  ","10"
"590","애들이랑 시사회 봤는데..나야 모 그냥 봤는데 애들은 재밌다고 하네요  ","10"
"591","재밌어용 ㅎㅎㅎㅎ  ","10"
"592","캐릭터가 개성이 강하고 재밌네요 어른이 봐도 유치하지 않은 감동적인 스토리 추천!  ","10"
"593","같은 3D라도 이렇게 차이가 날줄 몰랐다 차라리 일본 TV애니를 보겠다  ","2"
"594","연말에 가족과 함께 따듯함을 느낄 수 있는 최고의 명작 애니메이션이었습니다.  ","10"
"595","요새 나온거중에 볼만한 애니는 요고밖에 없는듯..ㅎ  ","9"
"596","나이 든 저까지 뭉클하게 만드는 영화였습니다.  ","10"
"597","어릴 때 봤어야 했는데..  ","5"
"598","시사 보는 동안 애들이 많이 울던데,애들이랑 3d로 다시 봐야겠어요. 절대 강추 애니!  ","10"
"599","아기자기하고 너무 귀여웠지만 좀 눈물나기도 했어요ㅜㅜ감동적이었어요  ","10"
"600","재미있다  ","10"
"601","가족들이 함께 보기 좋은 3D 애니메이션.. 보지않았으면 말을 하지 말어~  ","10"
"602","마당을 나온 암탉만큼 예쁘고 감동스러웠던 기대이상의 애니메이션!  ","10"
"603","어린아이들이라면 몰라도 어른들이 공감하기에는 부족한 영화같네요.  ","3"
"604","시사갔다왔어욤 잼네여 눈시울이 붉어지기도 했었다는....~ㅁ~  ","10"
"605","기대하고 봤는데 좀 그렇던데 한국어 더빙이면 괜찮을려나?  ","4"
"606","시사회에서 오랫만에  만난 감동적인 애니~!웃음과 눈물을 듬뿍~!어른들도 강추임당!  ","9"
"607","아이들 2 어른2 의 의견인데요, 둘은 그럭 저럭볼만했다고 둘은 재미없었다라 5점임  ","5"
"608","아이들과 함께 시사 나들이 다녀왔어요 우리아이들이 너무 좋아 하네요  ","10"
"609","아이와 보기에 약간 무서운 장면도 있지만.. 재미있었어요. 다분히 일본적인..  ","8"
"610","재미 없었어요.  ","2"
"611","기대를 너무 많이 했었는지 진부한 스토리를 풀어내는데 실패한것 같아요!  ","3"
"612","시사회 보고 왔는데 너무 귀엽고 또 재밌었어요. 감동의 눈물까지////  ","10"
"613","4살 아이가 너무 재밌게 봤어여!!!  ","10"
"614","쥬브나일의 감독 타카시 야마자키 신작, 역시 재미있군요! 아이들이 더 좋아해요!  ","9"
"615","용산cgv에서 봤어요 넘 재미남!!! 초등학교 어린이들에게 강추!!!!  ","10"
"616","너무 귀여운 코타케!!와 사랑스럽고 소심한 군조 아주 신나게 볼수 있는 영화!  ","10"
"617","다음주 주말에 애들 보여주려고 했는데 차라리 다른 애니를 돈주고 보여줘야 겠어요  ","2"
"618","전체적으로 무난한듯한 영화라 재미는 별로 없었어요 ;  ","4"
"619","완전 강추.웃다울다  ","10"
"620","오랜만에 감동적인 애니메니션 봤습니다. 기대 안하고 봤는데 넘 만족했습니다~  ","10"
